Episdoe: 106,  Total Steps: 7950,  Num Updates: 5448
Episdoe: 107,  Total Steps: 8025,  Num Updates: 5523
Episdoe: 108,  Total Steps: 8100,  Num Updates: 5598
Episdoe: 109,  Total Steps: 8175,  Num Updates: 5673
Episdoe: 110,  Total Steps: 8250,  Num Updates: 5748
Episdoe: 111,  Total Steps: 8325,  Num Updates: 5823
Episdoe: 112,  Total Steps: 8400,  Num Updates: 5898
Episdoe: 113,  Total Steps: 8475,  Num Updates: 5973
Episdoe: 114,  Total Steps: 8550,  Num Updates: 6048
Episdoe: 115,  Total Steps: 8625,  Num Updates: 6123
Episdoe: 116,  Total Steps: 8700,  Num Updates: 6198
Episdoe: 117,  Total Steps: 8775,  Num Updates: 6273
Episdoe: 118,  Total Steps: 8850,  Num Updates: 6348
Episdoe: 119,  Total Steps: 8925,  Num Updates: 6423
Episdoe: 120,  Total Steps: 9000,  Num Updates: 6498
Episdoe: 121,  Total Steps: 9075,  Num Updates: 6573
Episdoe: 122,  Total Steps: 9150,  Num Updates: 6648
Episdoe: 123,  Total Steps: 9225,  Num Updates: 6723
Episdoe: 124,  Total Steps: 9300,  Num Updates: 6798
Episdoe: 125,  Total Steps: 9375,  Num Updates: 6873
Episdoe: 126,  Total Steps: 9450,  Num Updates: 6948
Episdoe: 127,  Total Steps: 9525,  Num Updates: 7023
Episdoe: 128,  Total Steps: 9600,  Num Updates: 7098
Episdoe: 129,  Total Steps: 9675,  Num Updates: 7173
Episdoe: 130,  Total Steps: 9750,  Num Updates: 7248
Episdoe: 131,  Total Steps: 9825,  Num Updates: 7323
Episdoe: 132,  Total Steps: 9900,  Num Updates: 7398
Episdoe: 133,  Total Steps: 9975,  Num Updates: 7473
Episdoe: 134,  Total Steps: 10050,  Num Updates: 7548
Episdoe: 135,  Total Steps: 10125,  Num Updates: 7623
Episdoe: 136,  Total Steps: 10200,  Num Updates: 7698
Episdoe: 137,  Total Steps: 10275,  Num Updates: 7773
Episdoe: 138,  Total Steps: 10350,  Num Updates: 7848
Episdoe: 139,  Total Steps: 10425,  Num Updates: 7923
Episdoe: 140,  Total Steps: 10500,  Num Updates: 7998
Episdoe: 141,  Total Steps: 10575,  Num Updates: 8073
Episdoe: 142,  Total Steps: 10650,  Num Updates: 8148
Episdoe: 143,  Total Steps: 10725,  Num Updates: 8223
Episdoe: 144,  Total Steps: 10800,  Num Updates: 8298
Episdoe: 145,  Total Steps: 10875,  Num Updates: 8373
Episdoe: 146,  Total Steps: 10950,  Num Updates: 8448
Episdoe: 147,  Total Steps: 11025,  Num Updates: 8523
Episdoe: 148,  Total Steps: 11100,  Num Updates: 8598
Episdoe: 149,  Total Steps: 11175,  Num Updates: 8673
Episdoe: 150,  Total Steps: 11250,  Num Updates: 8748
Episdoe: 151,  Total Steps: 11325,  Num Updates: 8823
Episdoe: 152,  Total Steps: 11400,  Num Updates: 8898
Episdoe: 153,  Total Steps: 11475,  Num Updates: 8973
Episdoe: 154,  Total Steps: 11550,  Num Updates: 9048
Episdoe: 155,  Total Steps: 11625,  Num Updates: 9123
Episdoe: 156,  Total Steps: 11700,  Num Updates: 9198
Episdoe: 157,  Total Steps: 11775,  Num Updates: 9273
Episdoe: 158,  Total Steps: 11850,  Num Updates: 9348
Episdoe: 159,  Total Steps: 11925,  Num Updates: 9423
Episdoe: 160,  Total Steps: 12000,  Num Updates: 9498
Episdoe: 161,  Total Steps: 12075,  Num Updates: 9573
Episdoe: 162,  Total Steps: 12150,  Num Updates: 9648
Episdoe: 163,  Total Steps: 12225,  Num Updates: 9723
Episdoe: 164,  Total Steps: 12300,  Num Updates: 9798
Episdoe: 165,  Total Steps: 12375,  Num Updates: 9873
Episdoe: 166,  Total Steps: 12450,  Num Updates: 9948
Episdoe: 167,  Total Steps: 12525,  Num Updates: 10023
Episdoe: 168,  Total Steps: 12600,  Num Updates: 10098
Episdoe: 169,  Total Steps: 12675,  Num Updates: 10173
Episdoe: 170,  Total Steps: 12750,  Num Updates: 10248
Episdoe: 171,  Total Steps: 12825,  Num Updates: 10323
Episdoe: 172,  Total Steps: 12900,  Num Updates: 10398
Episdoe: 173,  Total Steps: 12975,  Num Updates: 10473
Episdoe: 174,  Total Steps: 13050,  Num Updates: 10548
Episdoe: 175,  Total Steps: 13125,  Num Updates: 10623
Episdoe: 176,  Total Steps: 13200,  Num Updates: 10698
Episdoe: 177,  Total Steps: 13275,  Num Updates: 10773
Episdoe: 178,  Total Steps: 13350,  Num Updates: 10848
Episdoe: 179,  Total Steps: 13425,  Num Updates: 10923
Episdoe: 180,  Total Steps: 13500,  Num Updates: 10998
Episdoe: 181,  Total Steps: 13575,  Num Updates: 11073
Episdoe: 182,  Total Steps: 13650,  Num Updates: 11148
Episdoe: 183,  Total Steps: 13725,  Num Updates: 11223
Episdoe: 184,  Total Steps: 13800,  Num Updates: 11298
Episdoe: 185,  Total Steps: 13875,  Num Updates: 11373
Episdoe: 186,  Total Steps: 13950,  Num Updates: 11448
Episdoe: 187,  Total Steps: 14025,  Num Updates: 11523
Episdoe: 188,  Total Steps: 14100,  Num Updates: 11598
Episdoe: 189,  Total Steps: 14175,  Num Updates: 11673
Episdoe: 190,  Total Steps: 14250,  Num Updates: 11748
Episdoe: 191,  Total Steps: 14325,  Num Updates: 11823
Episdoe: 192,  Total Steps: 14400,  Num Updates: 11898
Episdoe: 193,  Total Steps: 14475,  Num Updates: 11973
Episdoe: 194,  Total Steps: 14550,  Num Updates: 12048
Episdoe: 195,  Total Steps: 14625,  Num Updates: 12123
Episdoe: 196,  Total Steps: 14700,  Num Updates: 12198
Episdoe: 197,  Total Steps: 14775,  Num Updates: 12273
Episdoe: 198,  Total Steps: 14850,  Num Updates: 12348
Episdoe: 199,  Total Steps: 14925,  Num Updates: 12423
Episdoe: 200,  Total Steps: 15000,  Num Updates: 12498
Episdoe: 201,  Total Steps: 15075,  Num Updates: 12573
Episdoe: 202,  Total Steps: 15150,  Num Updates: 12648
Episdoe: 203,  Total Steps: 15225,  Num Updates: 12723
Episdoe: 204,  Total Steps: 15300,  Num Updates: 12798
Episdoe: 205,  Total Steps: 15375,  Num Updates: 12873
Episdoe: 206,  Total Steps: 15450,  Num Updates: 12948
