Episdoe: 1,  Total Steps: 150,  Num Updates: 0
Episdoe: 2,  Total Steps: 300,  Num Updates: 0
Episdoe: 3,  Total Steps: 450,  Num Updates: 0
Episdoe: 4,  Total Steps: 600,  Num Updates: 0
Episdoe: 5,  Total Steps: 750,  Num Updates: 0
Episdoe: 6,  Total Steps: 900,  Num Updates: 0
Episdoe: 7,  Total Steps: 1050,  Num Updates: 0
Episdoe: 8,  Total Steps: 1200,  Num Updates: 0
Episdoe: 9,  Total Steps: 1350,  Num Updates: 0
Episdoe: 10,  Total Steps: 1500,  Num Updates: 0
Episdoe: 11,  Total Steps: 1650,  Num Updates: 0
Episdoe: 12,  Total Steps: 1800,  Num Updates: 0
Episdoe: 13,  Total Steps: 1950,  Num Updates: 0
Episdoe: 14,  Total Steps: 2100,  Num Updates: 0
Episdoe: 15,  Total Steps: 2250,  Num Updates: 0
Episdoe: 16,  Total Steps: 2400,  Num Updates: 0
Episdoe: 17,  Total Steps: 2550,  Num Updates: 0
Episdoe: 18,  Total Steps: 2700,  Num Updates: 0
Episdoe: 19,  Total Steps: 2850,  Num Updates: 0
Episdoe: 20,  Total Steps: 3000,  Num Updates: 0
Episdoe: 21,  Total Steps: 3150,  Num Updates: 0
Episdoe: 22,  Total Steps: 3300,  Num Updates: 0
Episdoe: 23,  Total Steps: 3450,  Num Updates: 0
Episdoe: 24,  Total Steps: 3600,  Num Updates: 0
Episdoe: 25,  Total Steps: 3750,  Num Updates: 0
Episdoe: 26,  Total Steps: 3900,  Num Updates: 0
Episdoe: 27,  Total Steps: 4050,  Num Updates: 0
Episdoe: 28,  Total Steps: 4200,  Num Updates: 0
Episdoe: 29,  Total Steps: 4350,  Num Updates: 0
Episdoe: 30,  Total Steps: 4500,  Num Updates: 0
Episdoe: 31,  Total Steps: 4650,  Num Updates: 0
Episdoe: 32,  Total Steps: 4800,  Num Updates: 0
Episdoe: 33,  Total Steps: 4950,  Num Updates: 0
Episdoe: 34,  Total Steps: 5100,  Num Updates: 55
Episdoe: 35,  Total Steps: 5250,  Num Updates: 199
Episdoe: 36,  Total Steps: 5400,  Num Updates: 347
Episdoe: 37,  Total Steps: 5550,  Num Updates: 498
Episdoe: 38,  Total Steps: 5700,  Num Updates: 645
Episdoe: 39,  Total Steps: 5850,  Num Updates: 797
Episdoe: 40,  Total Steps: 6000,  Num Updates: 944
Episdoe: 41,  Total Steps: 6150,  Num Updates: 1096
Episdoe: 42,  Total Steps: 6300,  Num Updates: 1247
Episdoe: 43,  Total Steps: 6450,  Num Updates: 1397
Episdoe: 44,  Total Steps: 6600,  Num Updates: 1548
Episdoe: 45,  Total Steps: 6750,  Num Updates: 1696
Episdoe: 46,  Total Steps: 6900,  Num Updates: 1847
Episdoe: 47,  Total Steps: 7050,  Num Updates: 1997
Episdoe: 48,  Total Steps: 7200,  Num Updates: 2146
Episdoe: 49,  Total Steps: 7350,  Num Updates: 2297
Episdoe: 50,  Total Steps: 7500,  Num Updates: 2445
Episdoe: 51,  Total Steps: 7650,  Num Updates: 2594
Episdoe: 52,  Total Steps: 7800,  Num Updates: 2746
Episdoe: 53,  Total Steps: 7950,  Num Updates: 2897
Episdoe: 54,  Total Steps: 8100,  Num Updates: 3045
Episdoe: 55,  Total Steps: 8250,  Num Updates: 3196
Episdoe: 56,  Total Steps: 8400,  Num Updates: 3346
Episdoe: 57,  Total Steps: 8550,  Num Updates: 3494
Episdoe: 58,  Total Steps: 8700,  Num Updates: 3641
Episdoe: 59,  Total Steps: 8850,  Num Updates: 3790
Episdoe: 60,  Total Steps: 9000,  Num Updates: 3940
Episdoe: 61,  Total Steps: 9150,  Num Updates: 4091
Episdoe: 62,  Total Steps: 9300,  Num Updates: 4240
Episdoe: 63,  Total Steps: 9450,  Num Updates: 4390
Episdoe: 64,  Total Steps: 9600,  Num Updates: 4540
Episdoe: 65,  Total Steps: 9750,  Num Updates: 4691
Episdoe: 66,  Total Steps: 9900,  Num Updates: 4839
Episdoe: 67,  Total Steps: 10050,  Num Updates: 4990
Episdoe: 68,  Total Steps: 10200,  Num Updates: 5140
Episdoe: 69,  Total Steps: 10350,  Num Updates: 5290
Episdoe: 70,  Total Steps: 10500,  Num Updates: 5440
Episdoe: 71,  Total Steps: 10650,  Num Updates: 5590
Episdoe: 72,  Total Steps: 10800,  Num Updates: 5741
Episdoe: 73,  Total Steps: 10950,  Num Updates: 5891
Episdoe: 74,  Total Steps: 11100,  Num Updates: 6040
Episdoe: 75,  Total Steps: 11250,  Num Updates: 6190
Episdoe: 76,  Total Steps: 11400,  Num Updates: 6340
Episdoe: 77,  Total Steps: 11550,  Num Updates: 6490
Episdoe: 78,  Total Steps: 11700,  Num Updates: 6640
Episdoe: 79,  Total Steps: 11850,  Num Updates: 6789
Episdoe: 80,  Total Steps: 12000,  Num Updates: 6938
Episdoe: 81,  Total Steps: 12150,  Num Updates: 7091
Episdoe: 82,  Total Steps: 12300,  Num Updates: 7239
Episdoe: 83,  Total Steps: 12450,  Num Updates: 7390
Episdoe: 84,  Total Steps: 12600,  Num Updates: 7541
Episdoe: 85,  Total Steps: 12750,  Num Updates: 7691
Episdoe: 86,  Total Steps: 12900,  Num Updates: 7840
Episdoe: 87,  Total Steps: 13050,  Num Updates: 7990
Episdoe: 88,  Total Steps: 13200,  Num Updates: 8140
Episdoe: 89,  Total Steps: 13350,  Num Updates: 8290
Episdoe: 90,  Total Steps: 13500,  Num Updates: 8441
Episdoe: 91,  Total Steps: 13650,  Num Updates: 8590
